dyu,fr
[{'translation_text': '️ Who is who?️ Who is who?️ Who is who?️ Who is who?️ Who is who?️ Who is who?️ Who is who?️ Who is who?️ Who is who?️ Who is who?'}],ce sont lesquels
[{'translation_text': 'est choisi faitefr est faitfr est faitfr'}],c’est chose faite
"[{'translation_text': ""c'est une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoisellefr une demoiselle""}]",c'est une demoiselle
[{'translation_text': 'Oh voilà que ça recommencefrfr ça recommencefr'}],oh   voilà que ça recommence
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],cela me fait peur
"[{'translation_text': ""ah c'est un homme fortfr ô mon Dieu""}]",ah   c'est un homme fort
[{'translation_text': 'I give you the floor: (I give you the floor)'}],je vous donne la parole
[{'translation_text': 'Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr Les paysans sont libresfr'}],les paysans sont libres
[{'translation_text': 'million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the un million childrenfrom the childrenfrom the childrenfrom the childrenfrom the childrenfrom the children.'}],un million d’enfants
[{'translation_text': 'quel nom avez-vousfr ? [      ] Quel nom avez-vousfr ? [                                                                                      '}],quel nom avez vous
"[{'translation_text': ""j'allai vers le capitainefr j'ai été vers le capitainefr j'ai été vers le capitainefr j'ai été vers le capitainefr j'ai été vers le capitainefr""}]",j'allai vers le capitaine
"[{'translation_text': ""nous étions en train d'allerfr étions en train d'aller""}]",nous étions en train d'aller
[{'translation_text': 'eaufr il y a de leaufr il y a de leaufr il y a de leaufr il y a de leaufr'}],il y a de l’eau
[{'translation_text': 'they had no pointfr dchildren they had no pointfr dchildren they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children they had no pointfr children'}],ils n’avaient point d’enfants
"[{'translation_text': ""combien c'étaitfr ""}]",combien c'était
[{'translation_text': 'Retire à Niortfr'}],il se retire à niort
[{'translation_text': 'comment est ilfr'}],comment est il
"[{'translation_text': ""I can't decide on pizza. (I can't decide on pizza.)  (I can't decide on pizza.)  (I can't decide on pizza.)  (I can't decide on pizza.)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza)  (I can't decide on pizza) )""}]",j'arrive pas à me décider pour les pizzas
"[{'translation_text': ""I've been wanting to talk to you. (I've been wanting to talk to you.)""}]",j'avais envie de vous parler
[{'translation_text': 'est la porte de la chambre de nuit Ndiaye Ndiaye Ndiaye Ndiaye'}],c’est la porte de la chambre
[{'translation_text': 'best even better to write                                                                                                 '}],c’est encore mieux de l’écrire
"[{'translation_text': ""What's Happening?                                                                                               ""}]",ce qui doit arriver arrivera
"[{'translation_text': ""Allô tu m'entends bienfr ?""}]",allo  tu m'entends bien
[{'translation_text': '31 livresfrfrfr 31 livresfr'}],trente et un livres
[{'translation_text': 'in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr in some housesfr'}],dans certaines maisons
[{'translation_text': 'cessons des propos hasardeuxfrom les propos hasardieux des propos hasardieuxfrom les propos hasardieux'}],cessons des propos hasardeux
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il en est nommé directeur
[{'translation_text': 'stop applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom applaudingfrom'}],arrête d’applaudir
[{'translation_text': 'Send her an email if you can. Send her an email if you can. Send her an email if you can. Send her an email if you can. Send her an email if you can.'}],envoie lui un mail si tu peux
[{'translation_text': 'Is that what it concerns you? (¿Es eso lo que te interesa?)'}],est ce que ça vous regarde
"[{'translation_text': ""I've got one in my car. I've got one in my car. I've got one in my car. I've got one in my car. I've got one in my car.""}]",j'en ai un dans ma voiture
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il a été placé au premier plan
[{'translation_text': 'elle remonte vers la cuisinefrom la cuisine elle remonte vers la cuisinefrom la cuisine elle remonte vers la cuisinefrom la cuisine elle remonte vers la cuisinefrom la cuisine elle remonte vers la cuisinefrom la cuisine elle remonte vers la cuisinefrom la cuisine elle remonte vers la cuisinefrée elle remonte vers la cuisinefrée elle remonte vers la cuisine'}],elle remonte vers la cuisine
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],mais tais toi donc
[{'translation_text': 'histoire du nomfrfr / ˌkɔːrˈʃiːriː/'}],histoire du nom
[{'translation_text': 'Où se verront ilsfr?'}],où se verront ils
[{'translation_text': 'Extremely fatiguéfr: Extremely tired'}],extrêmement fatigué
[{'translation_text': '️ Allfr who is at the device. - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Allofr) - (Al'}],allo  qui est à l'appareil
[{'translation_text': 'I wanna walk on water️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],je veux marcher sur les eaux
"[{'translation_text': ""You're a good girl. (You're a good girl.)  (You're a good girl.)  (You're a good girl.)  (You're a good girl)  (You're a good girl)  (You're a good girl)  (You're a good girl)  (You're a good girl)  (You're a good girl)  (You're a good girl) ) ""}]",tu es une fille toi
[{'translation_text': 'Que voulez vous du vinfr? - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr] - [Winfr - [Winfr] - [Winfr] - [Winfr] -'}],que voulez vous   du vin
[{'translation_text': 'est une bonne chosefr'}],c’est une bonne chose
"[{'translation_text': ""I've got a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece of breadfrom I have a piece""}]",j'ai un morceau de pain
[{'translation_text': '41 Lettresfrfr: Quarante et une lettresfr: Quarante et une lettresfr: Quarante et une lettresfr: Quarante et une lettresfr: Quarante et une lettresfr: Quarante et une lettresfr: Quarante et une lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante et un lettresfr: Quarante'}],quarante et une lettres
"[{'translation_text': ""I've paid a lot of money. I've paid a lot of money. I've paid a lot of money. I've paid a lot of money.""}]",j'en avais déjà payé beaucoup
"[{'translation_text': ""tu m'appelles ma chère amie... (tu m'appelles ma chère amie) = (tu m'appelles ma chère amie) = (tu m'appelles ma chère amie) = (tu m'appelles ma chère amie) = (tu m'appelles ma chère amie) = (tu m'appelles ma chère amie)""}]",tu m’appelles   ma chère amie…
[{'translation_text': 'they were lovedfr they were lovedfr They were lovedfr They were lovedfr They were lovedfr'}],ils ont été aimés
[{'translation_text': 'enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. enfr en zone rurale également. en zone rurale également. enfr en zone rurale également. en zone rurale également.'}],en zone rurale également
[{'translation_text': 'James toujours à Londresfrom London James toujours à Londresfrom London James toujours à Londresfrom London James toujours à Londresfrom London James toujours à Londresfrom London James toujours à Londresfrom London'}],james  toujours à londres
[{'translation_text': 'lookz comme cest beaufr beaufr comme cest beaufr'}],regardez comme c’est beau
[{'translation_text': 'if we were going to the postfrom: [nɛ̃kɔ̃tʁə lε poʁtə]'}],si nous allions à la poste
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],bien  entre les deux
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il a tout inventé
[{'translation_text': '️était ce quelque grand pèrefr ️était ce quelque grand pèrefr ️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],était ce quelque grand père
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],éteignez le téléviseur
[{'translation_text': 'nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr Nous sommes maladesfr'}],nous sommes malades
"[{'translation_text': ""Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un était gorjufr: [Gorjufr] Ce quelqu'un est un homme qui est un homme de Dieu.""}]",ce quelqu'un était gorju
[{'translation_text': 's cest nouveau çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr çafr'}],tiens  c’est nouveau  ça
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],une poule quelconque
[{'translation_text': 'ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai hâte quril revienne ai revienne'}],j’ai hâte qu’il revienne
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],apportes en deux ou trois
[{'translation_text': 'I have pain in my teeth. - Meno a me a kwaa kwaa kwaa.'}],j'ai mal aux dents
[{'translation_text': 'Come tu nous garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nos garderasfr  Tu nous garderasfr  Tu nous garderasfr  Tu nous garderasfr  Tu nous garderasfr  Tu nous garderasfr  Tu as'}],viens  tu nous garderas
[{'translation_text': 'ai sufficiently dfrfr or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or or '}],j’ai suffisamment d’or
"[{'translation_text': ""I'd like to have a roomfrfr: [ˈbɛrmər ˈfrɪŋ] [ˈbɛrmər ˈfrɪŋ] [ˈbɛrmər ˈfrɪŋ]""}]",je voudrais avoir une chambre
[{'translation_text': 'nous nous aimionsfr nous nous aimionsfr nous nous aimonsfr vous nous aimiezfr nous nous aimâmesfr vous aimâtesfr nous nous aimâmesfr'}],nous  nous aimions
"[{'translation_text': ""It's all well arrangedfr all that...""}]",c’est bien arrangé  tout ça…
"[{'translation_text': ""Love wasn't less. Love was no less.""}]",l'amour n'était pas moindre
[{'translation_text': 'Papa ce nest pas ma fautefrfr papa ce nest pas ma fautefr papa ce nest pas ma fautefr papa ce nest pas ma fautefr papa ce nest pas ma fautefr'}],papa  ce n’est pas ma faute
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],c'est très difficile
"[{'translation_text': ""Don't listen to them. Don't listen to them. Don't listen to them. Don't listen to them. Don't listen to them. Don't listen to them. Don't listen to them.""}]",ne les écoutez pas
[{'translation_text': 'il remonte et sortfrom'}],il remonte et sort
[{'translation_text': 'comment était le filmfrfr?'}],comment était le film
"[{'translation_text': ""c'est les tiensfr  ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️ ♂️""}]",c'est les tiens
[{'translation_text': 'on en comprend les causesfr on comprend les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les causesfr les'}],on en comprend les causes
[{'translation_text': 'et quatre cent dix neuf ppfr                                                                                               '}],et quatre cent dix neuf pp
"[{'translation_text': ""fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron fr quarante cinq route d'anneyron""}]",quarante cinq route d'anneyron
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],là était la difficulté
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il faudra partir
[{'translation_text': 'So you really know pasfr?'}],donc tu sais vraiment pas
[{'translation_text': 'How long will this lastfr? (how long will this lastfr?)  (how long will this lastfr?)  (how long will this lastfr?)  (how long will this lastfr?)'}],combien de temps ça va durer
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],une petite brume de matin
[{'translation_text': 'est assez bienfr est assez bienfr'}],c’est assez bien
[{'translation_text': 'rue alamans au numéro neuffrfr au marché de la ville de Alamans'}],rue alamans au numéro neuf
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il fallut prendre congé
[{'translation_text': '️ nouveau reçufr'}],nouvellement reçu
[{'translation_text': 'une tête de bétailfr une tête de bétailfr'}],une tête de bétail
[{'translation_text': 'Ce comté est très ancienfr est très ancienfr Ce comté est très ancienfr Ce comté est très ancienfr'}],ce comté est très ancien
[{'translation_text': '...yes... he has family...fr... (he has family) ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha'}],oui… il a de la famille…
[{'translation_text': 'today cest unfr un crin today is a crinfr un crin today is a crinfr un crin today is a crinfr un crin today is a crinfr un crin today is a crinfr un crin today is a crinfr un crin today is a crinfr an crin today is a crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr an crinfr'}],aujourd’hui c’est un crin
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],le morveux  comme il grimpe
[{'translation_text': 'cest scandaleuxfrfr: [ˈkɑːstɪlɑːlɑːf] (listen) [ˈkɑːstɪlɑːf]) [ˈkɑːstɪlɑːf] (listen) [ˈkɑːstɪlɑːf]'}],c’est scandaleux
[{'translation_text': 'Allez donc offrir ça ...fr Vous allez donc offrir ceci ...fr Vous allez donc offrir ceci ...fr'}],allez donc offrir ça  …
[{'translation_text': 'quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr quatre rue peyssonnelfr'}],quatre rue peyssonnel
[{'translation_text': 'Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr  Deux à rue cantaranefr '}],deux a rue cantarane
[{'translation_text': 'Happy New Year to you❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️'}],bonne année à vous
[{'translation_text': 'Persons réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes réputéesfr des personnes'}],des personnes réputées
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il a pris une cuisinière
[{'translation_text': 'quatrefr ibid livfr ibid liv'}],quatre ibid   liv
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],la démarche était digitigrade
[{'translation_text': 'prayer la virgefr la virgefr prayer la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virgefr la virge'}],prier la vierge
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],ils en profitent
[{'translation_text': ''}],ça t’a coûté cher
[{'translation_text': 'je viendrai lundifr'}],je viendrai lundi
[{'translation_text': 'Cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr  cent onze route de lizacfr'}],cent onze route de lizac
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],il ne se fera jamais élire
[{'translation_text': 'approach of lfr hotelejer il sapprocha de lfr hotelejer il sapprocha de lfr hotelejer il sapprocha de lfr hotelejer il sapprocha de lfr hotelejer il sapprocha de lfr hotelejer il sapprocha de lfr hotelejer'}],il s’approcha de l’hôtelier
[{'translation_text': 'omer conçut le dangerfr le dangerfr  omer conçut le dangerfr le dangerfr'}],omer conçut le danger
"[{'translation_text': ""I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine. - I'm fine.""}]",je vais très bien  merci
[{'translation_text': 'Place voisin ernéefrfr                                                                                                '}],place voisin  ernée
[{'translation_text': 'pour quil pêchefr pour quil pêchefr est une pêche à la pêche pour quil pêchefr est une pêche à la pêche pour quil pêchefr est une pêche à la pêche pour quil pêchefr est une pêche à la pêche pour quil pêchefr'}],pour qu’il pêche
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],j'avais frémis en le voyant
"[{'translation_text': ""qu'ils écoutentfr ils écoutentfr""}]",qu'ils écoutent
[{'translation_text': 'rue suard à besançonfrfr'}],rue suard à besançon
[{'translation_text': 'rue barbet de jouy à paris rue barbet de jouy à paris'}],rue barbet de jouy à paris
[{'translation_text': 'Urbanista posa des objectionsfr'}],urbain posa des objections
[{'translation_text': 'Montée du Cardi à Saint-Simon à Saint-Simon'}],montée du cardi à saint simon
[{'translation_text': 'rue cassandre salviati merfrfr'}],rue cassandre salviati  mer
